Code,Developer comments,Context of the comments,How the code is related to the comment
OverallAssessment,OpenDP seems more powerful and might be better for production systems where I need fine-grained control,Library Choice,OpenDP for advanced use
LearningCurveTooSteep,The learning curve is significant,Library Choice,OpenDP complexity noted
PrivacyConcern,Neither makes it obvious when I'm making mistakes that could compromise privacy,Privacy Concerns,Silent failures concern
PrivacyConcern,I imagine there are other subtle issues that wouldn't trigger warnings,Privacy Concerns,Hidden privacy risks
BuildIssues,Installation issues - PyDP was impossible to install through standard methods,Final Thoughts,Installation barrier
PrivacyParameterGuidance,"Parameter guidance - No help on choosing epsilon, delta, or bounds",Final Thoughts,Missing guidance
MentalModelMismatch,Mental model mismatches - Functions don't always do what their names suggest (count vs sum of binary),Final Thoughts,Naming confusion
ErrorMessagesUnhelpful,Error messages - Technical errors that don't help users understand or fix issues,Final Thoughts,Poor error messages
MissingDocumentation,Documentation gaps - Lack of beginner-friendly tutorials and real-world examples,Final Thoughts,Documentation gaps
CompositionAwareness,Privacy budget confusion - Unclear how composition works for multiple queries,Final Thoughts,Composition unclear
AdoptionBarrier,"For differential privacy to be widely adopted, these libraries need to be more accessible",Final Thoughts,Accessibility needed
LearningCurveTooSteep,"Right now, they feel like they're designed for experts who already understand differential privacy deeply",Final Thoughts,Expert-oriented design
