Code,Developer comments,Context of the comments,How the code is related to the comment
SensitivityKnowledge,"For counting, if I add or remove one row, the count changes by at most 1, so sensitivity should be 1",IBM DiffPrivLib,Applying DP theory knowledge
WorkaroundRequired,But I feel like I'm working around the library rather than using it as intended,IBM DiffPrivLib,Workaround feels wrong
MissingDocumentation,The documentation should make this clearer - when to use tools vs mechanisms directly,IBM DiffPrivLib,Missing API guidance
ConfidenceUncertainty,But I'm still not confident this is the 'right' way to do it according to the library's design,IBM DiffPrivLib,Uncertainty about correctness
DocumentationComplexity,"Wow, this documentation looks very different. It seems more... theoretical?",OpenDP,Abstract documentation
AbstractConcepts,It talks about 'transformations' and 'measurements' and 'domains'. This is quite abstract compared to the other libraries,OpenDP,Unfamiliar terminology
AbstractConcepts,I'm not sure how to translate this into actual code for my task,OpenDP,Theory-to-code gap
FunctionalProgrammingStyle,The way it's used is very different - you chain operations with >>. This is like functional programming,OpenDP,Unfamiliar paradigm
ClarityOfDocumentation,The documentation doesn't clearly explain what make_count counts. Does it count all elements? Non-zero elements?,OpenDP,Function behavior unclear
MentalModelMismatch,"It says 'computes a count of the number of records in data.' So it counts all records, not filtered ones",OpenDP,Expectation mismatch
MentalModelMismatch,But then how do I count only the ones matching my condition?,OpenDP,Use case not supported
PrivacyConcern,Maybe I need to filter the data first and only pass the matching rows? But that would expose the actual data,OpenDP,Privacy concern about filtering
WrongResults,"It runs! But wait... the result is 32562, which is almost the total number of rows. That can't be right",OpenDP,Unexpected results
WrongResults,"Wait, that's also wrong! It should be 3, not 0. Something is definitely wrong with my understanding",OpenDP,Test case fails
ConfusionExpressed,The documentation doesn't clearly explain what make_count counts. Does it count all elements? Non-zero elements? I'm really confused,OpenDP,Deep confusion
LearningFromErrors,"OK, I think I understand now. make_count counts non-zero elements in the input vector",OpenDP,Learning through experimentation
LearningCurveTooSteep,"This is way more complex than I expected. I had to understand transformations, measurements, domains, and the functional programming style",OpenDP,Steep learning curve
APIComparison,"The mean() function is straightforward and well-documented. The API is consistent - I pass data, epsilon, and bounds. It's intuitive",IBM DiffPrivLib,Positive feedback on mean
BoundsConfiguration,The bounds are important - I need to specify the min and max possible values for age,IBM DiffPrivLib,Understanding bounds requirement
BoundsConfiguration,"I could use (17, 90) or be more conservative with (0, 100). I'll use (0, 100) to be safe, though it might add more noise",IBM DiffPrivLib,Bounds tradeoff decision
ImplementationSuccess,This task was much easier with IBM DiffPrivLib than Task 1,IBM DiffPrivLib,Easier experience
APIConsistency,I wish the count function worked the same way,IBM DiffPrivLib,Inconsistency noted
ErrorMessagesUnhelpful,The error message tells me what's wrong but not clearly how to fix it,OpenDP,Error lacks guidance
ErrorMessagesUnhelpful,"It says I can specify size in the domain or use make_resize, but doesn't show how",OpenDP,Alternatives without examples
SensitivityCalculation,"For mean, the sensitivity is (upper_bound - lower_bound) / n, so scale = (upper_bound - lower_bound) / (n * epsilon)",OpenDP,Manual sensitivity calculation
ImplementationSuccess,"Once I understood that I needed to specify the size in the domain, it worked",OpenDP,Success after understanding
APIComparison,"IBM DiffPrivLib was simpler - just mean(ages, epsilon=..., bounds=...)",Final Reflection,Comparing APIs
LearningCurveTooSteep,"OpenDP required me to understand domains, transformations, measurements, and sensitivity calculations",Final Reflection,Complex concepts required
ExampleCodeGap,Don't jump from trivial examples to full class implementations - show intermediate examples,Final Recommendations,Missing middle-ground examples
MissingDocumentation,"Explain not just what functions do, but when to use them, common patterns, and the mental model behind the API design",Final Recommendations,Documentation improvements
ErrorMessagesUnhelpful,"Tell me what type is expected, show an example of correct usage, not just that there's a mismatch",Final Recommendations,Better error messages needed
APIInconsistency,"Within a library, similar operations should work similarly. IBM's mean() is great, but count() works differently",Final Recommendations,Consistency needed
HighLevelAPINeeded,"For things like 'count filtered rows' or 'group by and aggregate', provide high-level functions",Final Recommendations,High-level functions requested
GettingStartedGuide,"Step-by-step tutorials that build from simple to complex, not just API reference",Final Recommendations,Progressive tutorials needed
DocumentationStructure,"Don't just send people to example codes - provide clear explanations of concepts, then examples",Final Recommendations,Better documentation structure
OverallAssessment,IBM DiffPrivLib was the most approachable for someone new to DP,Final Summary,Best for beginners
LearningCurveTooSteep,All three libraries assume you already understand differential privacy well,Final Summary,Expert-oriented design
LearningCurveTooSteep,"As a Python developer who's new to DP, I needed more hand-holding",Final Summary,More guidance needed
DocumentationStructure,The documentation structure matters a lot. PyDP and OpenDP both had issues where I couldn't easily find what I needed,Final Summary,Navigation issues
