code,category,definition,example_quote,phase_or_task,count,coder1_perspective,coder2_perspective,boundary_criteria,workaround_strategy
Budget Management,Privacy Budget Management,General effort and complexity of managing the privacy budget.,"""The composition rules are left to the user to implement correctly.""",Overall Assessment,62,Audits macro-level pipeline privacy accounting across all queries.,Documents overall mental effort managing cumulative privacy budget.,Coded for general privacy budget accounting effort vs Budget Splitting.,Manual re-implementation
Budget Splitting,Privacy Budget Management,Explicit splitting of the privacy budget across multiple queries or groups.,"""I had to manually implement the composition by splitting epsilon.""",Implementation,36,Checks correctness of sub-budget allocation (eps_i = eps / k).,Tracks manual math operations dividing epsilon across queries.,Coded for explicit division/splitting of epsilon vs Composition Awareness.,Manual re-implementation
Composition Awareness,Privacy Budget Management,Awareness and understanding of how multiple queries compose privacy loss.,"""Triple epsilon splitting: groups -> sum/count -> very small eps.""",Task B,82,Evaluates developer understanding of sequential vs parallel composition.,Documents developer statements regarding total privacy loss accumulation.,Coded for verbalized awareness of composition rules vs Budget Splitting.,Manual re-implementation
Cognitive Overhead,Privacy Budget Management,Extra mental effort required to juggle many Differential Privacy and API details at once.,"""Trying to remember the privacy budget, data types, bounds, and the specific syntax for each operation all at once is overwhelming.""",Implementation Struggle,26,"Evaluates mental load of tracking types, bounds, sensitivity, and composition simultaneously.",Captures developer fatigue while juggling API parameters.,Coded for expressed mental exhaustion/overload during budget tracking.,Trial-and-error coercion
Automatic Budget Management,Privacy Budget Management,Automatic or assisted privacy-budget tracking provided by the library.,"""I really appreciate that the library tracks the total epsilon used automatically so I don't have to.""",Verification,16,Verifies automated composition accounting in OpenDP Context/Compositor.,Captures praise for automated budget tracking features.,Coded for positive evaluation of automated budget tracking.,N/A
Error Messages Unhelpful,Error Handling & Messages,"Error messages that are cryptic, low-level, or fail to suggest a fix.","""Error: type mismatch: expected i32, found String... The error message is even more cryptic because it's talking about Rust types.""",Task A,132,Notes error messages that mask DP mathematical root causes.,"Documents cryptic Rust/FFI exception tracebacks (expected i32, found String).",Coded when error message fails to provide actionable fix guidance vs Error Occurred.,Trial-and-error coercion
Error Occurred,Error Handling & Messages,Explicit runtime errors or exceptions encountered.,"""I'm getting an error about bounds.""",Task A,40,Identifies execution halt due to invalid DP configuration.,Captures occurrence of runtime exceptions during query execution.,Coded for the event of a runtime exception vs Error Messages Unhelpful.,Trial-and-error coercion
Debugging Effort,Error Handling & Messages,Time and effort spent diagnosing and fixing issues in Differential Privacy code.,"""I just spent an hour trying to figure out why my Differential Privacy mean was returning NaN instead of throwing an error.""",Implementation Struggle,36,Tracks time spent attempting to fix invalid DP mechanism configurations.,Measures duration of trial-and-error debugging sessions.,Coded for prolonged troubleshooting time vs single error occurrence.,Trial-and-error coercion
Warning Clarity,Error Handling & Messages,Helpfulness and specificity of warnings about DP-related risks.,"""The warning clearly told me that my epsilon of 10.0 was suspiciously high, which stopped me from making a mistake.""",Parameter Configuration,20,Evaluates efficacy of warnings in preventing DP guarantee violations.,Captures developer praise for informative warnings (PrivacyLeakWarning).,Coded for constructive evaluation of runtime warning messages.,N/A
Silent Failure,Error Handling & Messages,Cases where the library allows unsafe or poor configurations without warning.,"""Some functions fail silently or with unclear errors.""",Overall Assessment,16,Flags instances where invalid configurations run without throwing exceptions or warnings.,Documents developer confusion over unexpected NaN outputs without errors.,Coded when library fails quietly without error or warning vs Error Messages Unhelpful.,Trial-and-error coercion
Build Issues,Installation & Setup,"Build, compilation, or binary compatibility problems.","""I couldn't even install it locally because it threw a C++ compiler error regarding an unsupported architecture.""",Installation,76,Checks environment compatibility of C++/Rust extensions.,Captures installation errors (ImportError: module was compiled for Python 3.6).,Coded for binary/compilation build failures vs Dependency Issues.,Trial-and-error coercion
Dependency Issues,Installation & Setup,"Unexpected, heavy, or fragile third-party dependencies.","""Installing this forced a downgrade of pandas, which broke the rest of my machine learning pipeline.""",Installation,30,Notes conflicts between DP library requirements and core data science stack.,Documents package version downgrades (e.g. pandas version conflicts).,Coded for third-party library conflicts vs binary compilation issues.,External-tool delegation
Installation Complexity,Installation & Setup,General complexity or fragility of installing and configuring the library.,"""Getting the library set up with all its rust-based dependencies took way too long.""",Installation,20,"Evaluates prerequisites (Rust toolchain, C++ compilers).",Measures time required to achieve a working library installation.,Coded for overall setup effort sentiment vs specific build errors.,N/A
Package Discovery,Installation & Setup,Difficulty discovering the correct package name or distribution to install.,"""I tried pip install pydp, but couldn't find it until I realized the actual package name was different.""",Installation,12,"Notes confusion finding official PyPI release names (opendp, diffprivlib, pydp).",Captures pip install attempts on incorrect package names.,Coded for PyPI package naming discovery issues vs API function discovery.,N/A
Data Format Issue,Data Handling & Format,Problems arising from the raw data representation used with the Differential Privacy library.,"""I had to convert integers to floats explicitly.""",Task B,48,Analyzes representation friction when passing pandas series vs numpy arrays vs polars dataframes.,Documents data reshaping work required before DP query execution.,Coded for data structure/format mismatch vs Type Conversion Required.,External-tool delegation
Dataset Issue,Data Handling & Format,Issues related to dataset structure or metadata.,"""Some education levels might have very few individuals. The mean calculation for small groups will have huge sensitivity.""",Task B,18,Analyzes impact of dataset sparsity or small subgroup sizes on DP noise.,Notes developer observations regarding dataset skew in adult.csv.,Coded for properties of the raw dataset vs API data format requirements.,N/A
Type Conversion Required,Data Handling & Format,Need to convert between data types to satisfy strict API requirements.,"""I had to convert integers to floats explicitly, and the space_of declarations need to match exactly.""",Task B,36,Checks sensitivity changes resulting from casting integers to floats or categoricals to binaries.,Captures repeated .astype(float) or .astype(int) invocations.,Coded for explicit data type casting operations vs general data format issues.,Trial-and-error coercion
Type Strictness,Data Handling & Format,Strict type requirements that make the API unforgiving or hard to use.,"""OpenDP's type system is very strict... This caught several bugs but also slowed me down significantly.""",Task B,26,Evaluates strict typing enforcement in C++/Rust-backed DP core.,Documents friction for Python developers expecting duck typing.,Coded for rigid type enforcement complaints vs actual type conversion code.,Trial-and-error coercion
How Should I Use This,Mental Model & Expectations,Uncertainty about the correct usage pattern for a function or mechanism.,"""I'm not entirely sure which approach I should use for a simple counting task.""",Task A,38,Identifies uncertainty regarding appropriate mechanism choice for a query.,Documents developer hesitance and searching for standard usage patterns.,Coded for usage pattern uncertainty vs Mental Model Mismatch.,Parameter guessing
Mental Model Mismatch,Mental Model & Expectations,Mismatch between expectations and actual behavior.,"""But wait, I see an error for a count operation, why do I need bounds?""",Task A,70,Identifies divergence between standard statistical expectations and DP algorithm mechanics.,Captures surprise when DP count requires bounds or returns length instead of non-zero count.,Coded when developer expectation contradicts library implementation vs general uncertainty.,Mechanism fallback
Confidence Uncertainty,Mental Model & Expectations,Lack of confidence that the chosen approach or configuration is correct.,"""I'm getting results, but I'm not 100\% confident they're correct.""",Output Validation,30,Notes lack of verification affordances to confirm DP compliance.,Captures statements expressing low confidence in produced results.,Coded for doubt in output correctness vs Privacy Guarantee Doubt.,Parameter guessing
Output Type Confusion,Mental Model & Expectations,Confusion about the type or nature of the returned Differential Privacy output.,"""The function returned a mechanism object instead of the actual noisy number, which confused me.""",Output Validation,16,Evaluates return values (mechanism objects vs numeric scalars).,Captures confusion when function returns a mechanism builder instead of result value.,Coded for confusion over return object type vs general result uncertainty.,Mechanism fallback
Implementation Struggle,Implementation Outcomes,Ongoing difficulty getting a solution working despite effort.,"""MAJOR FRUSTRATION: I'm running into several issues here...""",Task B,32,Tracks prolonged failed attempts to produce a valid DP query.,Captures verbalized frustration during task execution ('MAJOR FRUSTRATION').,Coded for ongoing task difficulty sentiment vs specific runtime errors.,Trial-and-error coercion
Implementation Success,Implementation Outcomes,Successfully completing a Differential Privacy task with the library.,"""Okay, this is working better!""",Task A,52,Validates that produced query satisfies all 4 DP safety criteria.,Documents successful execution and positive participant feedback.,Coded for clean task completion without safety violations.,N/A
Manual Implementation,Implementation Outcomes,Manually re-implementing functionality that the library does not offer.,"""OpenDP doesn't have a simple 'bounded mean' function... I had to construct it from Differential Privacy sum and Differential Privacy count.""",Task B,96,Audits hand-written mathematical routines (e.g. constructing mean from sum & count).,Documents code written to replace missing library operators.,Coded when developer writes custom logic for missing API features vs Mechanism Fallback.,Manual re-implementation
Workaround Required,Implementation Outcomes,Using workarounds or off-label techniques when the intended API falls short.,"""WORKAROUND COMMENT: I'm using a histogram function when I really just need a simple count.""",Task A,144,Assesses privacy implications of off-label API usage.,Identifies explicit comments or verbal statements indicating workaround adoption.,Coded for overall workaround behavior tagging across sessions.,Mechanism fallback
Result Variability,Implementation Outcomes,Variation in Differential Privacy outputs across runs due to noise and sampling.,"""Every time I run the script, the average age jumps around by 5 years. I know it's noise, but it makes unit testing impossible.""",Output Validation,20,Analyzes noise variance across repeated executions of stochastic mechanism.,Documents developer friction when output numbers change on every run.,Coded for output randomness across runs vs single inaccurate result.,N/A
Wrong Results,Implementation Outcomes,Outputs that are clearly wrong or implausible to the developer.,"""QUALITY CONCERN: The error is massive!... the noise completely overwhelms the signal.""",Task B,26,Checks for extreme noise distortion or negative values for non-negative quantities.,Captures developer statements rejecting implausible DP outputs (e.g. negative age).,Coded when output is clearly implausible or erroneous vs general noise variation.,Parameter guessing
Utility Problem,Implementation Outcomes,Situations where added noise makes results practically unusable.,"""With realistic privacy budgets and multiple queries, the noise often overwhelms the signal.""",Overall Assessment,36,Evaluates signal-to-noise ratio under realistic privacy budgets.,Documents developer statements that noise renders results useless for analysis.,Coded when noise destroys analytical utility vs specific wrong result output.,Parameter guessing
Library Switch,Library Comparison & Selection,Switching between libraries due to frustration or misfit with the task.,"""arghhh. OpenDP isn't working for me. Too complex. Alright, let's switch to PyDP.""",Transition,20,Compares formal privacy models across abandoned and adopted libraries.,Captures decision to abandon a library due to friction ('arghhh... switch to PyDP').,Coded when developer explicitly abandons one library for another.,External-tool delegation
High-Level API Needed,Library Comparison & Selection,"Desire for higher-level, task-oriented abstractions over low-level mechanisms.","""OpenDP doesn't have a simple 'bounded mean' function like the other libraries.""",Task B,40,Evaluates need for task-oriented abstractions that encapsulate sensitivity math.,Captures requests for DataFrame-level methods (df.dp.mean()).,Coded for expressed desire for higher abstractions vs low-level API complaints.,Manual re-implementation
Low-Level API,Library Comparison & Selection,APIs that expose low-level primitives rather than data-analytic workflows.,"""There are 'mechanisms' that are the raw differential privacy building blocks.""",Documentation Review,42,"Examines exposure of raw building blocks (Laplace, Gaussian mechanisms, domains, metrics).",Documents cognitive friction when forced to work with low-level primitives.,Coded for friction caused by exposure of low-level mechanisms vs high-level API needs.,Mechanism fallback
Adoption Barrier,Library Comparison & Selection,Any factor that would prevent or discourage real-world adoption of the library.,"""My experience confirms the theoretical promise of differential privacy is compelling, but the practical implementation challenges are significant.""",Session Conclusion,36,Synthesizes structural mathematical and software obstacles to real-world deployment.,Captures concluding reflections on real-world usability blockers.,Coded for general reflections on barriers to real-world adoption in production.,N/A
StackOverflow Search,Community & Support,Looking for help via Stack Overflow or similar Q&A sites.,"""I ended up searching Stack Overflow to find out how others handle this dtype error.""",Troubleshooting,12,Notes reliance on external community Q&A for DP parameter selection.,Tracks web search queries targeting Stack Overflow.,Coded for active searching on Q&A sites vs searching official docs.,External-tool delegation
GitHub Issue Search,Community & Support,Searching or filing GitHub issues for support or clarification.,"""I had to dig through closed GitHub issues to find the workaround for the bounds bug.""",Troubleshooting,10,Identifies reliance on GitHub issue threads for un-documented DP workarounds.,Tracks navigation to library GitHub repositories for bug reports.,Coded for searching repository issue trackers for help vs general search.,External-tool delegation
Community Examples,Community & Support,"Using community-contributed examples (blogs, gists) to learn Differential Privacy libraries.","""I found a helpful tutorial on Medium that explained it better than the official docs.""",Documentation Search,8,Checks correctness of third-party blog posts and tutorials consulted by developers.,Tracks usage of non-official blog posts and gists.,Coded for use of third-party community tutorials vs official documentation.,External-tool delegation
Lack Of Community Support,Community & Support,Perceived lack of active community or peer support around the library.,"""There are almost no good examples online, and some of the tagged questions on Stack Overflow have zero answers.""",Troubleshooting,12,Notes lack of peer validation for privacy-critical code snippets online.,Captures complaints about zero-answer posts on Q&A forums.,Coded for expressed frustration over inactive community support.,N/A
Official Support Absent,Community & Support,Missing or weak official support channels.,"""The library's repository hasn't been updated in 2 years, and the issue was ignored.""",Troubleshooting,8,Notes unaddressed issue reports regarding mathematical edge cases.,Captures developer comments on abandoned or unmaintained library repositories.,Coded for perceived lack of maintainer responsiveness or repository updates.,N/A
Cognitive Load High,Cognitive Load & Complexity,High perceived mental effort when using the library.,"""Juggling the functional chains, type casting, and budget math all at the same time is exhausting.""",General Usage,26,Evaluates mental effort required for multi-step sensitivity and budget composition math.,Captures statements describing exhaustion or mental strain during session.,Coded for overall mental strain statements vs specific concept overload.,Trial-and-error coercion
Concept Overload,Cognitive Load & Complexity,Too many interdependent concepts must be learned at once.,"""Having to learn about sensitivities, metrics, domains, and scales all at once before writing code is just too much.""",Learning Curve,20,"Identifies cognitive bottleneck of absorbing domains, metrics, scales, and bounds at once.",Documents statements overwhelmed by number of new DP concepts.,Coded for feeling overwhelmed by multiple simultaneous concepts vs cognitive load in coding.,Parameter guessing
Decision Fatigue,Cognitive Load & Complexity,Excessive configuration or design decisions leading to fatigue.,"""There are so many different ways to construct a Differential Privacy mean that I don't know which one to pick anymore.""",Parameter Configuration,12,"Evaluates fatigue from making sequential parameter choices (eps, delta, bounds, sensitivity).",Captures developer hesitation when faced with many configuration choices.,Coded for fatigue stemming from excessive design choices vs general cognitive load.,Parameter guessing
Information Overload,Cognitive Load & Complexity,"Too much information presented at once, overwhelming the user.","""The documentation page dumps all the mathematical proofs on you before showing a single line of usable code.""",Documentation Review,16,Notes documentation pages that present mathematical proofs before basic usage.,Captures complaints about dense wall-of-text documentation pages.,Coded for feeling overwhelmed by dense text/proofs in docs vs concept overload.,N/A
Output Validation,Trust & Verification,Checking Differential Privacy outputs against expectations or baselines for sanity.,"""Let me verify this works... print(f'Count result: \{result\}') \# Should be close to 5""",Task A,12,Evaluates developer methods for sanity-checking noisy DP outputs against non-private baselines.,Captures print statements comparing DP results to ground truth.,Coded for active checking of output values vs uncertainty about correctness.,N/A
Privacy Guarantee Doubt,Trust & Verification,Doubts about whether the library truly enforces the claimed privacy guarantees.,"""The library doesn't provide any way to verify the privacy guarantees are being met.""",Output Validation,16,Identifies absence of mathematical proofs or verification tools within the library.,Captures statements doubting whether the library truly protects privacy.,Coded for skepticism regarding underlying privacy guarantees vs general output doubt.,Parameter guessing
Correctness Uncertainty,Trust & Verification,Uncertainty about the correctness of results or implementations beyond privacy.,"""I'm getting results, but I'm not 100\% confident they're correct.""",Output Validation,20,Notes lack of feedback regarding correctness of sensitivity or clipping bounds.,Captures statements expressing uncertainty if implementation is correct.,Coded for general uncertainty in code correctness beyond privacy guarantees.,Parameter guessing
